year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1993,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,6068,1.0,14.0,,14.0,,3.0,9.0,,1.0,,6.0,8.0,3.0,11.0,6.0,16.5,230.7,,230.7,,49.4,148.3,,16.5,,98.9,131.8,49.4,181.3,98.9
1993,72,143.0,Peoria,10,Central,Mostly Urban,14.6,21103,5.0,48.0,2.0,46.0,5.0,14.0,23.0,1.0,4.0,34.0,,14.0,3.0,45.0,13.0,23.7,227.5,9.5,218.0,23.7,66.3,109.0,4.7,19.0,161.1,,66.3,14.2,213.2,61.6
1993,75,149.0,Pike,8,Central,Mostly Rural,72.3,2012,1.0,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,49.7,49.7,,49.7,,,49.7,,,,,49.7,,49.7,
1993,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,980,,3.0,,3.0,,1.0,2.0,,,2.0,,1.0,,3.0,,,306.1,,306.1,,102.0,204.1,,,204.1,,102.0,,306.1,
1993,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,3836,,10.0,,10.0,,1.0,9.0,,,4.0,,6.0,2.0,8.0,2.0,,260.7,,260.7,,26.1,234.6,,,104.3,,156.4,52.1,208.6,52.1
1993,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,17014,8.0,12.0,2.0,10.0,1.0,5.0,3.0,,3.0,7.0,1.0,4.0,,12.0,3.0,47.0,70.5,11.8,58.8,5.9,29.4,17.6,,17.6,41.1,5.9,23.5,,70.5,17.6
1993,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,33118,13.0,23.0,2.0,21.0,1.0,11.0,11.0,,,17.0,,6.0,2.0,21.0,3.0,39.3,69.4,6.0,63.4,3.0,33.2,33.2,,,51.3,,18.1,6.0,63.4,9.1
1993,83,165.0,Saline,1,Southern,Mostly Urban,43.7,3170,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,31.5,,31.5,,,31.5,,,,,31.5,,31.5,31.5
1993,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,20865,4.0,26.0,,26.0,,6.0,17.0,1.0,2.0,16.0,1.0,9.0,1.0,25.0,10.0,19.2,124.6,,124.6,,28.8,81.5,4.8,9.6,76.7,4.8,43.1,4.8,119.8,47.9
1993,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,5621,5.0,13.0,1.0,12.0,,5.0,7.0,,,6.0,,7.0,,13.0,4.0,89.0,231.3,17.8,213.5,,89.0,124.5,,,106.7,,124.5,,231.3,71.2
1993,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,15005,4.0,11.0,,11.0,,4.0,6.0,,,,,11.0,1.0,10.0,5.0,26.7,73.3,,73.3,,26.7,40.0,,,,,73.3,6.7,66.6,33.3
1993,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,10309,2.0,4.0,,4.0,,1.0,2.0,,1.0,2.0,,2.0,,4.0,1.0,19.4,38.8,,38.8,,9.7,19.4,,9.7,19.4,,19.4,,38.8,9.7
1993,94,187.0,Warren,9,Central,Mostly Urban,45.5,2297,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,43.5
