year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1989,73,145.0,Perry,20,Southern,Mostly Urban,43.6,,19.0,1.0,,5.0,12.0,1.0,6.0,1.0,18.0,5.0,,,,,,,,,,
1989,74,147.0,Piatt,6,Central,Mostly Rural,67.7,,7.0,,,3.0,4.0,,3.0,,7.0,,,,,,,,,,,
1989,75,149.0,Pike,8,Central,Mostly Rural,72.3,,4.0,,,1.0,3.0,,1.0,,4.0,1.0,,,,,,,,,,
1989,76,151.0,Pope,1,Southern,Completely Rural,100.0,,6.0,1.0,1.0,1.0,2.0,1.0,2.0,,6.0,,,,,,,,,,,
1989,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,,4.0,,,,4.0,,,,4.0,2.0,,,,,,,,,,
1989,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,,12.0,3.0,,1.0,6.0,2.0,3.0,,12.0,5.0,,,,,,,,,,
1989,80,159.0,Richland,2,Southern,Mostly Urban,43.5,,19.0,4.0,,1.0,12.0,2.0,3.0,,19.0,2.0,,,,,,,,,,
1989,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,,130.0,18.0,4.0,26.0,70.0,12.0,38.0,5.0,125.0,10.0,,,,,,,,,,
1989,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,,253.0,15.0,3.0,98.0,121.0,16.0,114.0,12.0,241.0,28.0,,,,,,,,,,
1989,83,165.0,Saline,1,Southern,Mostly Urban,43.7,,20.0,2.0,,9.0,8.0,1.0,10.0,1.0,19.0,4.0,,,,,,,,,,
1989,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,114.0,10.0,2.0,36.0,61.0,5.0,41.0,8.0,106.0,36.0,,,,,,,,,,
1989,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,,5.0,1.0,,,2.0,2.0,2.0,,5.0,,,,,,,,,,,
1989,86,171.0,Scott,7,Central,Completely Rural,100.0,,6.0,,,2.0,4.0,,2.0,2.0,4.0,1.0,,,,,,,,,,
1989,87,173.0,Shelby,4,Central,Mostly Rural,77.7,,16.0,,,,13.0,3.0,3.0,1.0,15.0,2.0,,,,,,,,,,
1989,88,175.0,Stark,10,Central,Completely Rural,100.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
1989,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,55.0,5.0,1.0,14.0,32.0,3.0,17.0,6.0,49.0,6.0,,,,,,,,,,
1989,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,54.0,2.0,,15.0,33.0,4.0,19.0,1.0,53.0,8.0,,,,,,,,,,
1989,91,181.0,Union,1,Southern,Mostly Rural,65.9,,4.0,,,1.0,3.0,,1.0,,4.0,,,,,,,,,,,
