year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,58,115.0,Macon,6,Central,Mostly Urban,15.3,128485,201.0,25.0,415.0,1136.0,18.0,2.0,44.0,17.0,156.4,19.5,323.0,884.1,14.0,1.6,34.2,13.2
1982,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,49412,18.0,0.0,33.0,43.0,10.0,0.0,1.0,3.0,36.4,0.0,66.8,87.0,20.2,0.0,2.0,6.1
1982,60,119.0,Madison,3,Southern,Mostly Urban,13.3,244437,177.0,14.0,425.0,1567.0,47.0,14.0,108.0,28.0,72.4,5.7,173.9,641.1,19.2,5.7,44.2,11.5
1982,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44347,25.0,0.0,28.0,120.0,12.0,0.0,9.0,2.0,56.4,0.0,63.1,270.6,27.1,0.0,20.3,4.5
1982,62,123.0,Marshall,10,Central,Completely Rural,100.0,14308,4.0,0.0,4.0,9.0,0.0,1.0,0.0,2.0,28.0,0.0,28.0,62.9,0.0,7.0,0.0,14.0
1982,63,125.0,Mason,8,Central,Mostly Rural,77.5,18797,3.0,3.0,13.0,23.0,4.0,0.0,0.0,1.0,16.0,16.0,69.2,122.4,21.3,0.0,0.0,5.3
1982,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15069,21.0,1.0,16.0,33.0,6.0,0.0,2.0,1.0,139.4,6.6,106.2,219.0,39.8,0.0,13.3,6.6
1982,65,129.0,Menard,8,Central,Mostly Rural,75.7,11682,2.0,0.0,16.0,6.0,1.0,0.0,0.0,0.0,17.1,0.0,137.0,51.4,8.6,0.0,0.0,0.0
1982,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19468,2.0,1.0,26.0,11.0,3.0,1.0,0.0,0.0,10.3,5.1,133.6,56.5,15.4,5.1,0.0,0.0
1982,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,20341,12.0,1.0,15.0,31.0,0.0,1.0,3.0,0.0,59.0,4.9,73.7,152.4,0.0,4.9,14.7,0.0
1982,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32662,4.0,2.0,30.0,44.0,3.0,0.0,2.0,0.0,12.2,6.1,91.8,134.7,9.2,0.0,6.1,0.0
1982,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37158,58.0,0.0,34.0,99.0,9.0,0.0,1.0,1.0,156.1,0.0,91.5,266.4,24.2,0.0,2.7,2.7
1982,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14650,4.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,27.3,0.0,47.8,54.6,6.8,0.0,0.0,0.0
1982,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46059,19.0,0.0,34.0,72.0,0.0,3.0,1.0,0.0,41.3,0.0,73.8,156.3,0.0,6.5,2.2,0.0
1982,72,143.0,Peoria,10,Central,Mostly Urban,14.6,197990,351.0,21.0,414.0,1546.0,67.0,7.0,81.0,26.0,177.3,10.6,209.1,780.8,33.8,3.5,40.9,13.1
1982,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21977,35.0,2.0,25.0,33.0,0.0,0.0,0.0,0.0,159.3,9.1,113.8,150.2,0.0,0.0,0.0,0.0
1982,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16493,6.0,0.0,20.0,18.0,0.0,1.0,0.0,0.0,36.4,0.0,121.3,109.1,0.0,6.1,0.0,0.0
1982,75,149.0,Pike,8,Central,Mostly Rural,72.3,18879,6.0,0.0,11.0,11.0,0.0,0.0,0.0,2.0,31.8,0.0,58.3,58.3,0.0,0.0,0.0,10.6
1982,76,151.0,Pope,1,Southern,Completely Rural,100.0,4367,7.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,160.3,0.0,251.9,114.5,0.0,0.0,0.0,0.0
1982,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,8733,36.0,4.0,8.0,32.0,2.0,0.0,7.0,0.0,412.2,45.8,91.6,366.4,22.9,0.0,80.2,0.0
1982,78,155.0,Putnam,10,Central,Completely Rural,100.0,6076,3.0,0.0,3.0,4.0,1.0,0.0,0.0,1.0,49.4,0.0,49.4,65.8,16.5,0.0,0.0,16.5
1982,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35825,31.0,1.0,28.0,29.0,8.0,1.0,0.0,0.0,86.5,2.8,78.2,80.9,22.3,2.8,0.0,0.0
1982,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18515,7.0,2.0,37.0,46.0,7.0,0.0,0.0,0.0,37.8,10.8,199.8,248.4,37.8,0.0,0.0,0.0
1982,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166165,162.0,7.0,248.0,1012.0,39.0,0.0,37.0,10.0,97.5,4.2,149.2,609.0,23.5,0.0,22.3,6.0
1982,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,266073,603.0,13.0,294.0,1427.0,35.0,27.0,65.0,25.0,226.6,4.9,110.5,536.3,13.2,10.1,24.4,9.4
1982,83,165.0,Saline,1,Southern,Mostly Urban,43.7,28953,32.0,1.0,46.0,59.0,13.0,0.0,0.0,2.0,110.5,3.5,158.9,203.8,44.9,0.0,0.0,6.9
1982,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,175162,122.0,7.0,248.0,545.0,30.0,1.0,57.0,8.0,69.6,4.0,141.6,311.1,17.1,0.6,32.5,4.6
1982,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8237,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,12.1,0.0,0.0,109.3,24.3,0.0,0.0,0.0
1982,86,171.0,Scott,7,Central,Completely Rural,100.0,6059,0.0,0.0,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,66.0,132.0,16.5,16.5,0.0,0.0
1982,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23630,0.0,0.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,12.7,29.6,8.5,0.0,0.0,0.0
1982,88,175.0,Stark,10,Central,Completely Rural,100.0,7252,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.4,0.0,13.8,13.8,0.0,0.0,0.0,0.0
1982,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,49842,100.0,0.0,43.0,263.0,5.0,1.0,13.0,0.0,200.6,0.0,86.3,527.7,10.0,2.0,26.1,0.0
1982,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130451,85.0,14.0,167.0,446.0,23.0,4.0,17.0,1.0,65.2,10.7,128.0,341.9,17.6,3.1,13.0,0.8
1982,91,181.0,Union,1,Southern,Mostly Rural,65.9,18043,11.0,0.0,11.0,24.0,2.0,2.0,1.0,1.0,61.0,0.0,61.0,133.0,11.1,11.1,5.5,5.5
1982,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,92998,109.0,6.0,136.0,516.0,16.0,4.0,13.0,2.0,117.2,6.5,146.2,554.9,17.2,4.3,14.0,2.2
1982,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13913,9.0,0.0,23.0,83.0,4.0,1.0,1.0,1.0,64.7,0.0,165.3,596.6,28.8,7.2,7.2,7.2
1982,94,187.0,Warren,9,Central,Mostly Urban,45.5,21638,10.0,0.0,36.0,71.0,2.0,2.0,1.0,1.0,46.2,0.0,166.4,328.1,9.2,9.2,4.6,4.6
1982,95,189.0,Washington,20,Southern,Mostly Rural,73.6,15517,3.0,1.0,5.0,2.0,4.0,0.0,0.0,0.0,19.3,6.4,32.2,12.9,25.8,0.0,0.0,0.0
1982,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,18613,5.0,0.0,28.0,26.0,11.0,0.0,4.0,4.0,26.9,0.0,150.4,139.7,59.1,0.0,21.5,21.5
1982,97,193.0,White,2,Southern,Mostly Rural,62.0,18403,12.0,0.0,16.0,38.0,7.0,0.0,2.0,0.0,65.2,0.0,86.9,206.5,38.0,0.0,10.9,0.0
1982,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,64356,45.0,3.0,74.0,287.0,9.0,1.0,4.0,2.0,69.9,4.7,115.0,446.0,14.0,1.6,6.2,3.1
1982,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,325943,425.0,10.0,345.0,1362.0,66.0,14.0,95.0,19.0,130.4,3.1,105.8,417.9,20.2,4.3,29.1,5.8
1982,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,57917,55.0,4.0,75.0,106.0,7.0,0.0,5.0,4.0,95.0,6.9,129.5,183.0,12.1,0.0,8.6,6.9
1982,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,249698,413.0,20.0,429.0,2426.0,47.0,12.0,105.0,10.0,165.4,8.0,171.8,971.6,18.8,4.8,42.1,4.0
1982,102,203.0,Woodford,11,Central,Mostly Rural,54.9,33563,3.0,0.0,17.0,27.0,1.0,0.0,1.0,1.0,8.9,0.0,50.7,80.4,3.0,0.0,3.0,3.0
1983,1,1.0,Adams,8,Central,Mostly Urban,32.6,70392,85.0,2.0,64.0,345.0,12.0,0.0,6.0,3.0,120.8,2.8,90.9,490.1,17.0,0.0,8.5,4.3
1983,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,11948,31.0,0.0,33.0,43.0,3.0,0.0,8.0,3.0,259.5,0.0,276.2,359.9,25.1,0.0,67.0,25.1
1983,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15932,0.0,0.0,1.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,6.3,56.5,6.3,6.3,18.8,0.0
1983,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29133,8.0,1.0,36.0,152.0,3.0,0.0,0.0,0.0,27.5,3.4,123.6,521.7,10.3,0.0,0.0,0.0
1983,5,9.0,Brown,8,Central,Mostly Urban,41.1,5726,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,0.0,0.0,0.0,0.0
1983,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38399,22.0,1.0,44.0,90.0,10.0,0.0,0.0,0.0,57.3,2.6,114.6,234.4,26.0,0.0,0.0,0.0
1983,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,18342,4.0,0.0,14.0,23.0,3.0,0.0,0.0,2.0,21.8,0.0,76.3,125.4,16.4,0.0,0.0,10.9
1983,9,17.0,Cass,8,Central,Mostly Rural,52.1,14662,10.0,0.0,5.0,14.0,1.0,0.0,1.0,0.0,68.2,0.0,34.1,95.5,6.8,0.0,6.8,0.0
1983,10,19.0,Champaign,6,Central,Mostly Urban,12.7,170311,232.0,6.0,221.0,1038.0,29.0,11.0,53.0,11.0,136.2,3.5,129.8,609.5,17.0,6.5,31.1,6.5
1983,11,21.0,Christian,4,Central,Mostly Urban,43.5,36391,16.0,1.0,27.0,81.0,5.0,4.0,1.0,2.0,44.0,2.7,74.2,222.6,13.7,11.0,2.7,5.5
1983,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16897,6.0,1.0,5.0,22.0,4.0,0.0,0.0,1.0,35.5,5.9,29.6,130.2,23.7,0.0,0.0,5.9
1983,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15595,7.0,3.0,17.0,32.0,4.0,0.0,0.0,0.0,44.9,19.2,109.0,205.2,25.6,0.0,0.0,0.0
1983,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,33648,13.0,0.0,29.0,26.0,2.0,2.0,1.0,0.0,38.6,0.0,86.2,77.3,5.9,5.9,3.0,0.0
1983,15,29.0,Coles,5,Central,Mostly Urban,24.3,52780,23.0,0.0,72.0,188.0,9.0,1.0,7.0,0.0,43.6,0.0,136.4,356.2,17.1,1.9,13.3,0.0
1983,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5213812,2359.0,402.0,10569.0,51432.0,4210.0,944.0,6029.0,807.0,45.2,7.7,202.7,986.5,80.7,18.1,115.6,15.5
1983,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21229,12.0,1.0,10.0,23.0,1.0,0.0,0.0,0.0,56.5,4.7,47.1,108.3,4.7,0.0,0.0,0.0
1983,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10955,5.0,0.0,9.0,17.0,0.0,1.0,0.0,0.0,45.6,0.0,82.2,155.2,0.0,9.1,0.0,0.0
1983,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73711,35.0,0.0,121.0,448.0,29.0,0.0,3.0,0.0,47.5,0.0,164.2,607.8,39.3,0.0,4.1,0.0
1983,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17673,11.0,0.0,7.0,26.0,0.0,0.0,2.0,0.0,62.2,0.0,39.6,147.1,0.0,0.0,11.3,0.0
1983,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19763,3.0,0.0,17.0,25.0,6.0,2.0,0.0,0.0,15.2,0.0,86.0,126.5,30.4,10.1,0.0,0.0
1983,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,690201,221.0,18.0,508.0,1974.0,90.0,7.0,43.0,10.0,32.0,2.6,73.6,286.0,13.0,1.0,6.2,1.4
1983,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21674,29.0,3.0,19.0,65.0,4.0,0.0,2.0,0.0,133.8,13.8,87.7,299.9,18.5,0.0,9.2,0.0
1983,24,47.0,Edwards,2,Southern,Completely Rural,100.0,8165,2.0,0.0,4.0,15.0,1.0,0.0,0.0,0.0,24.5,0.0,49.0,183.7,12.2,0.0,0.0,0.0
1983,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,31400,6.0,0.0,29.0,84.0,4.0,0.0,4.0,0.0,19.1,0.0,92.4,267.5,12.7,0.0,12.7,0.0
1983,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22397,6.0,0.0,7.0,40.0,4.0,0.0,0.0,0.0,26.8,0.0,31.3,178.6,17.9,0.0,0.0,0.0
1983,27,53.0,Ford,11,Central,Mostly Urban,41.8,15220,2.0,0.0,21.0,19.0,4.0,0.0,0.0,1.0,13.1,0.0,138.0,124.8,26.3,0.0,0.0,6.6
1983,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,43726,44.0,1.0,47.0,87.0,7.0,2.0,6.0,0.0,100.6,2.3,107.5,199.0,16.0,4.6,13.7,0.0
1983,29,57.0,Fulton,9,Central,Mostly Rural,60.0,42341,13.0,0.0,41.0,67.0,7.0,1.0,1.0,0.0,30.7,0.0,96.8,158.2,16.5,2.4,2.4,0.0
1983,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7718,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,90.7,0.0,25.9,25.9,0.0,0.0,0.0,0.0
1983,31,61.0,Greene,7,Central,Mostly Rural,70.8,16262,7.0,0.0,18.0,30.0,1.0,2.0,1.0,1.0,43.0,0.0,110.7,184.5,6.1,12.3,6.1,6.1
1983,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30619,10.0,3.0,46.0,59.0,8.0,1.0,0.0,0.0,32.7,9.8,150.2,192.7,26.1,3.3,0.0,0.0
1983,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23562,14.0,2.0,20.0,49.0,9.0,1.0,1.0,6.0,59.4,8.5,84.9,208.0,38.2,4.2,4.2,25.5
