year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,court_evalation,new_court_and_court_evaluation,offense_class_felony,offense_class_misdemeanor_and_unknown,offense_type_drug,offense_type_person,offense_type_property,offense_type_sex,offense_type_weapons,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_white,sex_female,sex_male,technical_violation,court_evalation_rate,new_court_and_court_evaluation_rate,offense_class_felony_rate,offense_class_misdemeanor_and_unknown_rate,offense_type_drug_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_weapons_rate,race_ethnicity_black_rate,race_ethnicity_hispanic_rate,race_ethnicity_white_rate,sex_female_rate,sex_male_rate,technical_violation_rate
1994,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,,,3.0,,3.0,1.0,1.0,,,1.0,2.0,,1.0,,3.0,12.0,,,,,,,,,,,,,,,
1994,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
1994,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,,,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1994,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,,,2.0,,2.0,,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,
1994,95,189.0,Washington,20,Southern,Mostly Rural,73.6,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1994,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1994,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,,,3.0,,3.0,,,3.0,,,1.0,,2.0,,3.0,1.0,,,,,,,,,,,,,,,
1994,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,,,3.0,2.0,1.0,,2.0,1.0,,,1.0,,2.0,,3.0,4.0,,,,,,,,,,,,,,,
1994,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1994,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,,,10.0,5.0,5.0,1.0,4.0,3.0,,2.0,6.0,,3.0,1.0,9.0,8.0,,,,,,,,,,,,,,,
1994,102,203.0,Woodford,11,Central,Mostly Rural,54.9,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,1,1.0,Adams,8,Central,Mostly Urban,32.6,,1.0,7.0,,7.0,,2.0,4.0,1.0,,1.0,,6.0,,7.0,3.0,,,,,,,,,,,,,,,
1995,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
1995,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,,1.0,3.0,,3.0,,,3.0,,,,,3.0,,3.0,1.0,,,,,,,,,,,,,,,
1995,5,9.0,Brown,8,Central,Mostly Urban,41.1,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
1995,6,11.0,Bureau,13,Central,Mostly Rural,57.4,,1.0,2.0,,2.0,,,2.0,,,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,
1995,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1995,10,19.0,Champaign,6,Central,Mostly Urban,12.7,,,16.0,1.0,15.0,4.0,5.0,6.0,,,8.0,,8.0,2.0,14.0,7.0,,,,,,,,,,,,,,,
1995,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,,2.0,2.0,,2.0,1.0,,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
1995,15,29.0,Coles,5,Central,Mostly Urban,24.3,,1.0,3.0,,3.0,,,3.0,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
1995,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,,6.0,344.0,101.0,243.0,43.0,171.0,71.0,13.0,45.0,241.0,64.0,34.0,9.0,335.0,51.0,,,,,,,,,,,,,,,
1995,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,,1.0,2.0,,2.0,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,
1995,20,39.0,De Witt,6,Central,Mostly Urban,48.8,,,1.0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
