year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,cannabis_control_act,controlled_substance_act,drug_paraphernalia_control_act,hypodermic_syringes_and_neddles_act,methamphetamine,cannabis_control_act_rate,controlled_substance_act_rate,drug_paraphernalia_control_act_rate,hypodermic_syringes_and_neddles_act_rate,methamphetamine_rate
1975,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,127100,217.0,80.0,,,,170.7,62.9,,,
1975,91,181.0,Union,1,Southern,Mostly Rural,65.9,16300,8.0,1.0,,,,49.1,6.1,,,
1975,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,97600,62.0,75.0,,,,63.5,76.8,,,
1975,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13300,0.0,0.0,,,,0.0,0.0,,,
1975,94,187.0,Warren,9,Central,Mostly Urban,45.5,22000,12.0,2.0,,,,54.5,9.1,,,
1975,95,189.0,Washington,20,Southern,Mostly Rural,73.6,14500,3.0,3.0,,,,20.7,20.7,,,
1975,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17500,9.0,0.0,,,,51.4,0.0,,,
1975,97,193.0,White,2,Southern,Mostly Rural,62.0,16900,25.0,1.0,,,,147.9,5.9,,,
1975,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,64700,53.0,11.0,,,,81.9,17.0,,,
1975,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,290800,201.0,50.0,,,,69.1,17.2,,,
1975,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,53000,8.0,19.0,,,,15.1,35.8,,,
1975,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,246800,418.0,60.0,,,,169.4,24.3,,,
1975,102,203.0,Woodford,11,Central,Mostly Rural,54.9,30000,20.0,9.0,,,,66.7,30.0,,,
1976,1,1.0,Adams,8,Central,Mostly Urban,32.6,71900,55.0,7.0,,,,76.5,9.7,,,
1976,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12700,8.0,2.0,,,,63.0,15.7,,,
1976,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15800,8.0,0.0,,,,50.6,0.0,,,
1976,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,27600,27.0,4.0,,,,97.8,14.5,,,
1976,5,9.0,Brown,8,Central,Mostly Urban,41.1,5700,,0.0,,,,,0.0,,,
1976,6,11.0,Bureau,13,Central,Mostly Rural,57.4,37900,13.0,7.0,,,,34.3,18.5,,,
1976,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5800,3.0,0.0,,,,51.7,0.0,,,
1976,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19300,15.0,2.0,,,,77.7,10.4,,,
1976,9,17.0,Cass,8,Central,Mostly Rural,52.1,14900,24.0,4.0,,,,161.1,26.8,,,
1976,10,19.0,Champaign,6,Central,Mostly Urban,12.7,169100,92.0,26.0,,,,54.4,15.4,,,
1976,11,21.0,Christian,4,Central,Mostly Urban,43.5,37300,12.0,4.0,,,,32.2,10.7,,,
1976,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16300,0.0,2.0,,,,0.0,12.3,,,
1976,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15500,5.0,7.0,,,,32.3,45.2,,,
1976,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,30600,9.0,2.0,,,,29.4,6.5,,,
1976,15,29.0,Coles,5,Central,Mostly Urban,24.3,52300,49.0,13.0,,,,93.7,24.9,,,
1976,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5385700,12429.0,9077.0,,,,230.8,168.5,,,
1976,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20600,21.0,1.0,,,,101.9,4.9,,,
1976,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10600,18.0,2.0,,,,169.8,18.9,,,
1976,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,73100,107.0,11.0,,,,146.4,15.0,,,
1976,20,39.0,De Witt,6,Central,Mostly Urban,48.8,17700,7.0,3.0,,,,39.5,16.9,,,
1976,21,41.0,Douglas,6,Central,Mostly Rural,61.6,20200,14.0,3.0,,,,69.3,14.9,,,
1976,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,580200,792.0,189.0,,,,136.5,32.6,,,
1976,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21700,12.0,6.0,,,,55.3,27.6,,,
1976,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7700,3.0,0.0,,,,39.0,0.0,,,
1976,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,28700,13.0,3.0,,,,45.3,10.5,,,
1976,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,21500,40.0,4.0,,,,186.0,18.6,,,
1976,27,53.0,Ford,11,Central,Mostly Urban,41.8,15300,61.0,9.0,,,,398.7,58.8,,,
1976,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,42200,54.0,20.0,,,,128.0,47.4,,,
1976,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43600,19.0,26.0,,,,43.6,59.6,,,
1976,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7600,21.0,0.0,,,,276.3,0.0,,,
1976,31,61.0,Greene,7,Central,Mostly Rural,70.8,17300,19.0,1.0,,,,109.8,5.8,,,
1976,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,28800,24.0,4.0,,,,83.3,13.9,,,
1976,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,8900,0.0,0.0,,,,0.0,0.0,,,
1976,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23200,16.0,7.0,,,,69.0,30.2,,,
1976,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5300,5.0,0.0,,,,94.3,0.0,,,
1976,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8500,10.0,5.0,,,,117.6,58.8,,,
1976,37,73.0,Henry,14,Central,Mostly Rural,50.3,56200,50.0,13.0,,,,89.0,23.1,,,
1976,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,34100,48.0,6.0,,,,140.8,17.6,,,
1976,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,60300,26.0,9.0,,,,43.1,14.9,,,
1976,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11300,24.0,1.0,,,,212.4,8.8,,,
1976,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,34500,19.0,11.0,,,,55.1,31.9,,,
1976,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,19800,33.0,0.0,,,,166.7,0.0,,,
1976,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23000,47.0,3.0,,,,204.3,13.0,,,
1976,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9200,10.0,2.0,,,,108.7,21.7,,,
1976,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,269300,338.0,103.0,,,,125.5,38.2,,,
1976,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,100500,198.0,55.0,,,,197.0,54.7,,,
1976,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,32100,9.0,2.0,,,,28.0,6.2,,,
1976,48,95.0,Knox,9,Central,Mostly Urban,24.3,62300,29.0,11.0,,,,46.5,17.7,,,
1976,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,416600,815.0,310.0,,,,195.6,74.4,,,
1976,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,110300,96.0,10.0,,,,87.0,9.1,,,
1976,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,18000,2.0,0.0,,,,11.1,0.0,,,
1976,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36900,88.0,15.0,,,,238.5,40.7,,,
1976,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41500,42.0,12.0,,,,101.2,28.9,,,
1976,54,107.0,Logan,11,Central,Mostly Urban,39.9,33000,20.0,13.0,,,,60.6,39.4,,,
1976,55,109.0,McDonough,9,Central,Mostly Urban,29.5,40000,23.0,4.0,,,,57.5,10.0,,,
1976,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,128300,230.0,124.0,,,,179.3,96.6,,,
1976,57,113.0,McLean,11,Central,Mostly Urban,16.5,115400,102.0,75.0,,,,88.4,65.0,,,
1976,58,115.0,Macon,6,Central,Mostly Urban,15.3,129700,190.0,17.0,,,,146.5,13.1,,,
1976,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,47600,20.0,1.0,,,,42.0,2.1,,,
1976,60,119.0,Madison,3,Southern,Mostly Urban,13.3,250900,216.0,71.0,,,,86.1,28.3,,,
1976,61,121.0,Marion,4,Southern,Mostly Urban,45.1,41100,13.0,1.0,,,,31.6,2.4,,,
1976,62,123.0,Marshall,10,Central,Completely Rural,100.0,13600,5.0,3.0,,,,36.8,22.1,,,
1976,63,125.0,Mason,8,Central,Mostly Rural,77.5,19000,13.0,7.0,,,,68.4,36.8,,,
1976,64,127.0,Massac,1,Southern,Mostly Rural,50.5,14400,11.0,2.0,,,,76.4,13.9,,,
1976,65,129.0,Menard,8,Central,Mostly Rural,75.7,11100,9.0,0.0,,,,81.1,0.0,,,
1976,66,131.0,Mercer,14,Central,Mostly Rural,77.8,18600,19.0,3.0,,,,102.2,16.1,,,
1976,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,19500,2.0,1.0,,,,10.3,5.1,,,
1976,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31600,53.0,5.0,,,,167.7,15.8,,,
1976,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37500,39.0,7.0,,,,104.0,18.7,,,
1976,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,13800,22.0,5.0,,,,159.4,36.2,,,
